,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
9576,0.6076128404742699,4,Nrsn1,1417.851511493707,0.41492761764177233,-3.3927008604620426,-4.912611278878787,0.9829440699597483,SE,98,0.0025668079076654935,0.051821586526584355,0.002288818359375,25.125271635606374,-44.41026027665033,41.017559416188284,1.508676517048002e-10,1.508676517048002e-06
9503,0.44346267646358556,4,Nptx1,1417.851511493707,0.8063465270878666,-29.675786650215873,-4.867566701214648,0.9074165220641973,SE,98,0.0041146938755996405,0.07864945725283085,0.0019462108612060547,77.69144321511403,-63.6159421126939,33.94015546247803,5.6833524553212555e-09,2.089338739056738e-05
9805,0.6028003561891312,4,Eef1a2,2540.4486927750327,0.26279453494391036,2.0553297097278005,-5.01157330026348,0.7405751358295887,SE,98,0.006807001269572178,0.13650558323388362,0.0019252300262451172,14.229210495226688,-31.69432517773332,33.74965488746112,6.268016217170214e-09,2.089338739056738e-05
9665,0.5961118738265082,4,Wbp2,1417.851511493707,0.43532921287287135,-18.683940474924597,-4.99031701733295,1.0420221469152817,SE,98,0.0030498838539942627,0.06062620796437871,0.0019237995147705078,55.707750864531484,-51.75101143513061,33.06707096020601,8.903388915015853e-09,2.2258472287539632e-05
9245,0.46765751479805834,4,Rprm,1417.851511493707,0.7313877950166691,-72.66795518076401,-5.661458522430298,1.3752605198351127,SE,98,0.007245460672331948,0.1366115047879867,0.0019102096557617188,163.6757802762103,-104.92579956226145,32.257844381497435,1.3501091689072098e-08,2.315695357690828e-05
9992,0.6422488985139145,4,Cadm4,4551.872680816345,0.10047514756235783,-24.128257471011935,-9.103593106943725,2.227328509234175,SE,98,0.01205811916882534,0.258227284712888,0.0026748180389404297,66.59638485670615,-56.330340423871945,32.20208295286001,1.3894172146144967e-08,2.315695357690828e-05
9731,0.3034420102479685,4,Cux2,2540.4486927750327,0.9155088578148629,-35.255347181771555,2.588242933857431,0.2516564898872626,SE,98,0.008027972303726608,0.19671003092381065,0.002280712127685547,88.85056427822539,-63.92248551336863,28.667138331597073,8.594993894384118e-08,0.00012278562706263024
9918,0.4329708091354443,4,Efhd2,2540.4486927750327,0.5223093245746016,-48.209891139658865,-8.588683600718444,1.8277489393088766,SE,98,0.011439131114733854,0.220475751967336,0.0019352436065673828,114.75965219400001,-76.51284589511486,28.302954755456,1.0373751824221955e-07,0.00012967189780277444
9575,0.6391189366861886,4,Apba2,1417.851511493707,0.36279968941090013,-15.155470805056467,-4.011016724366813,0.750174975789402,SE,98,0.007874806128864858,0.16761165800936598,0.0019202232360839844,48.65081152479522,-42.74444910228827,27.588978297231805,1.500312400981585e-07,0.00016670137788684278
8279,0.4520973402339492,4,Grm2,791.3180511624732,1.0002644301246373,-68.79123082691183,0.43018685191473305,0.1880080626236789,SE,98,0.0028052452442501566,0.05331282836469641,0.001588582992553711,155.92233156850594,-94.93769383999464,26.14646301308281,3.164762794050091e-07,0.0003164762794050091
9668,0.45412558623948623,4,Actr1b,1417.851511493707,0.7723270849506422,-18.290808978005483,-4.065519942693347,0.6490657372050358,SE,98,0.005103387766463605,0.09687108102456625,0.0019390583038330078,54.921487870693255,-43.23182396980822,24.941014991802735,5.911137331837679e-07,0.0005373761210761527
9936,0.43159541326963824,4,Hs6st3,2540.4486927750327,0.5252447649002345,-15.623399308809987,0.8063602209451609,0.14396043073171194,SE,98,0.010080250681589086,0.19451793722943095,0.001928091049194336,49.58666853230226,-40.33294077178965,24.709541462979665,6.665337682898453e-07,0.0005554448069082044
8359,0.7075268458181865,4,Ctgf,791.3180511624732,0.34118227005121426,-52.129634731974875,-2.3945456411793224,0.7061764966450347,SE,98,0.0017740451867216335,0.04499724283383179,0.0022735595703125,122.59913937863203,-76.54276360142786,24.41312886945299,7.773711597769406e-07,0.0005979778152130313
9231,0.3711519300767257,4,Hrh3,1417.851511493707,1.088625511125034,-45.18677618155775,-4.251031942086794,0.703723964836118,SE,98,0.004302383720291105,0.08985537121096966,0.0019528865814208984,108.71342227779778,-69.13441504267321,23.947638861115465,9.899162272120066e-07,0.0007070830194371476
7708,0.49858366423975536,4,Arc,791.3180511624732,0.8300491372014547,-60.03291638289714,-3.9749065948678988,1.184990138777074,SE,98,0.0017332514077235696,0.03246555622813139,0.0019152164459228516,138.40570268047657,-83.5135443153732,23.480627932476054,1.2617788218705073e-06,0.0008411858812470049
9312,0.5288941359419499,4,Garnl3,1417.851511493707,0.5723138510449479,-14.783670476223968,-4.7120423546707615,0.88343441073745,SE,98,0.02882971778851789,0.542852735469909,0.0019218921661376953,47.907210867130225,-38.071812288596846,23.288141812372878,1.3945716766938787e-06,0.0008716072979336742
9703,0.39047282404936307,4,Hs3st4,1417.851511493707,1.002967264782743,-22.758162516948545,-4.091848392895143,0.6292984928211586,SE,98,0.0062492178066514,0.1265164890621492,0.0015892982482910156,63.85619494857938,-45.27034752179415,22.512185004845605,2.088148232992637e-06,0.0012283224899956688
