"","x"
"1","L2/3 eNeuron"
"2","L2/3 eNeuron"
"3","L2/3 eNeuron"
"4","Lhx6 iNeuron"
"5","L2/3 eNeuron"
"6","Lhx6 iNeuron"
"7","L2/3 eNeuron"
"8","Adarb2 iNeuron"
"9","L2/3 eNeuron"
"10","L2/3 eNeuron"
"11","L2/3 eNeuron"
"12","L2/3 eNeuron"
"13","microglia"
"14","L2/3 eNeuron"
"15","L2/3 eNeuron"
"16","Lhx6 iNeuron"
"17","L2/3 eNeuron"
"18","L2/3 eNeuron"
"19","microglia"
"20","L2/3 eNeuron"
"21","L2/3 eNeuron"
"22","Lhx6 iNeuron"
"23","endothelial"
"24","Adarb2 iNeuron"
"25","L2/3 eNeuron"
"26","Adarb2 iNeuron"
"27","L2/3 eNeuron"
"28","L2/3 eNeuron"
"29","L2/3 eNeuron"
"30","L2/3 eNeuron"
"31","L2/3 eNeuron"
"32","L2/3 eNeuron"
"33","L2/3 eNeuron"
"34","L2/3 eNeuron"
"35","mural"
"36","Adarb2 iNeuron"
"37","astrocytes"
"38","OPC"
"39","L2/3 eNeuron"
"40","astrocytes"
"41","Adarb2 iNeuron"
"42","astrocytes"
"43","astrocytes"
"44","endothelial"
"45","astrocytes"
"46","microglia"
"47","Adarb2 iNeuron"
"48","OPC"
"49","Adarb2 iNeuron"
"50","microglia"
"51","astrocytes"
"52","L2/3 eNeuron"
"53","L2/3 eNeuron"
"54","OPC"
"55","L4 eNeuron"
"56","L2/3 eNeuron"
"57","L2/3 eNeuron"
"58","L2/3 eNeuron"
"59","L2/3 eNeuron"
"60","Adarb2 iNeuron"
"61","L2/3 eNeuron"
"62","Adarb2 iNeuron"
"63","L2/3 eNeuron"
"64","L4 eNeuron"
"65","L4 eNeuron"
"66","microglia"
"67","L2/3 eNeuron"
"68","L2/3 eNeuron"
"69","L2/3 eNeuron"
"70","L2/3 eNeuron"
"71","L2/3 eNeuron"
"72","L2/3 eNeuron"
"73","L2/3 eNeuron"
"74","L2/3 eNeuron"
"75","L2/3 eNeuron"
"76","L2/3 eNeuron"
"77","L2/3 eNeuron"
"78","L2/3 eNeuron"
"79","L2/3 eNeuron"
"80","L2/3 eNeuron"
"81","L2/3 eNeuron"
"82","L4 eNeuron"
"83","L2/3 eNeuron"
"84","L2/3 eNeuron"
"85","L2/3 eNeuron"
"86","Lhx6 iNeuron"
"87","endothelial"
"88","L2/3 eNeuron"
"89","L4 eNeuron"
"90","L4 eNeuron"
"91","L2/3 eNeuron"
"92","L2/3 eNeuron"
"93","L2/3 eNeuron"
"94","Lhx6 iNeuron"
"95","L2/3 eNeuron"
"96","L4 eNeuron"
"97","L2/3 eNeuron"
"98","L2/3 eNeuron"
"99","L2/3 eNeuron"
"100","astrocytes"
"101","L2/3 eNeuron"
"102","L4 eNeuron"
"103","L2/3 eNeuron"
"104","L4 eNeuron"
"105","OPC"
"106","OPC"
"107","Lhx6 iNeuron"
"108","L2/3 eNeuron"
"109","L2/3 eNeuron"
"110","Adarb2 iNeuron"
"111","L2/3 eNeuron"
"112","L2/3 eNeuron"
"113","L2/3 eNeuron"
"114","Adarb2 iNeuron"
"115","L2/3 eNeuron"
"116","endothelial"
"117","endothelial"
"118","astrocytes"
"119","L4 eNeuron"
"120","L4 eNeuron"
"121","L2/3 eNeuron"
"122","L4 eNeuron"
"123","L4 eNeuron"
"124","OPC"
"125","L4 eNeuron"
"126","endothelial"
"127","L4 eNeuron"
"128","L4 eNeuron"
"129","L4 eNeuron"
"130","L4 eNeuron"
"131","L4 eNeuron"
"132","L4 eNeuron"
"133","L4 eNeuron"
"134","L4 eNeuron"
"135","L5 eNeuron"
"136","L4 eNeuron"
"137","astrocytes"
"138","L5 eNeuron"
"139","L4 eNeuron"
"140","L4 eNeuron"
"141","L4 eNeuron"
"142","L4 eNeuron"
"143","L4 eNeuron"
"144","L4 eNeuron"
"145","L4 eNeuron"
"146","OPC"
"147","L4 eNeuron"
"148","L4 eNeuron"
"149","L4 eNeuron"
"150","L4 eNeuron"
"151","Lhx6 iNeuron"
"152","L4 eNeuron"
"153","L4 eNeuron"
"154","L4 eNeuron"
"155","endothelial"
"156","mural"
"157","L4 eNeuron"
"158","L4 eNeuron"
"159","L4 eNeuron"
"160","astrocytes"
"161","L4 eNeuron"
"162","L4 eNeuron"
"163","L4 eNeuron"
"164","L4 eNeuron"
"165","L4 eNeuron"
"166","L4 eNeuron"
"167","L4 eNeuron"
"168","endothelial"
"169","L4 eNeuron"
"170","L4 eNeuron"
"171","astrocytes"
"172","L4 eNeuron"
"173","L4 eNeuron"
"174","L4 eNeuron"
"175","L4 eNeuron"
"176","L4 eNeuron"
"177","Adarb2 iNeuron"
"178","endothelial"
"179","L4 eNeuron"
"180","L4 eNeuron"
"181","L4 eNeuron"
"182","L4 eNeuron"
"183","L4 eNeuron"
"184","L4 eNeuron"
"185","L4 eNeuron"
"186","L4 eNeuron"
"187","L4 eNeuron"
"188","L4 eNeuron"
"189","L4 eNeuron"
"190","L4 eNeuron"
"191","L4 eNeuron"
"192","L4 eNeuron"
"193","astrocytes"
"194","L4 eNeuron"
"195","L2/3 eNeuron"
"196","L4 eNeuron"
"197","L4 eNeuron"
"198","endothelial"
"199","Adarb2 iNeuron"
"200","L4 eNeuron"
"201","L4 eNeuron"
"202","astrocytes"
"203","L4 eNeuron"
"204","Lhx6 iNeuron"
"205","L4 eNeuron"
"206","endothelial"
"207","L4 eNeuron"
"208","L4 eNeuron"
"209","L4 eNeuron"
"210","L4 eNeuron"
"211","L4 eNeuron"
"212","L4 eNeuron"
"213","endothelial"
"214","L2/3 eNeuron"
"215","L2/3 eNeuron"
"216","L4 eNeuron"
"217","L4 eNeuron"
"218","L4 eNeuron"
"219","L4 eNeuron"
"220","Adarb2 iNeuron"
"221","endothelial"
"222","L4 eNeuron"
"223","L4 eNeuron"
"224","L4 eNeuron"
"225","L4 eNeuron"
"226","L4 eNeuron"
"227","endothelial"
"228","L5 eNeuron"
"229","L5 eNeuron"
"230","L5 eNeuron"
"231","L5 eNeuron"
"232","L5 eNeuron"
"233","L6 eNeuron"
"234","L5 eNeuron"
"235","L5 eNeuron"
"236","L5 eNeuron"
"237","L4 eNeuron"
"238","L6 eNeuron"
"239","L6 eNeuron"
"240","mural"
"241","L4 eNeuron"
"242","L5 eNeuron"
"243","L5 eNeuron"
"244","L5 eNeuron"
"245","astrocytes"
"246","Lhx6 iNeuron"
"247","L6 eNeuron"
"248","L6 eNeuron"
"249","L6 eNeuron"
"250","L5 eNeuron"
"251","L5 eNeuron"
"252","L5 eNeuron"
"253","endothelial"
"254","L4 eNeuron"
"255","L6 eNeuron"
"256","L5 eNeuron"
"257","astrocytes"
"258","L5 eNeuron"
"259","L5 eNeuron"
"260","L5 eNeuron"
"261","Lhx6 iNeuron"
"262","L5 eNeuron"
"263","L5 eNeuron"
"264","endothelial"
"265","Lhx6 iNeuron"
"266","endothelial"
"267","Lhx6 iNeuron"
"268","Lhx6 iNeuron"
"269","Lhx6 iNeuron"
"270","L5 eNeuron"
"271","Olig"
"272","L5 eNeuron"
"273","L6 eNeuron"
"274","L5 eNeuron"
"275","Lhx6 iNeuron"
"276","L6 eNeuron"
"277","L6 eNeuron"
"278","L5 eNeuron"
"279","Lhx6 iNeuron"
"280","L5 eNeuron"
"281","L5 eNeuron"
"282","mural"
"283","astrocytes"
"284","L5 eNeuron"
"285","L5 eNeuron"
"286","L5 eNeuron"
"287","L6 eNeuron"
"288","astrocytes"
"289","L6 eNeuron"
"290","endothelial"
"291","L6 eNeuron"
"292","L5 eNeuron"
"293","L5 eNeuron"
"294","Lhx6 iNeuron"
"295","L4 eNeuron"
"296","L5 eNeuron"
"297","endothelial"
"298","astrocytes"
"299","L5 eNeuron"
"300","L5 eNeuron"
"301","L5 eNeuron"
"302","OPC"
"303","Lhx6 iNeuron"
"304","L5 eNeuron"
"305","L5 eNeuron"
"306","Olig"
"307","L4 eNeuron"
"308","L5 eNeuron"
"309","L6 eNeuron"
"310","Lhx6 iNeuron"
"311","L5 eNeuron"
"312","L6 eNeuron"
"313","L5 eNeuron"
"314","Lhx6 iNeuron"
"315","endothelial"
"316","OPC"
"317","L6 eNeuron"
"318","OPC"
"319","endothelial"
"320","L6 eNeuron"
"321","L6 eNeuron"
"322","L6 eNeuron"
"323","L6 eNeuron"
"324","L6 eNeuron"
"325","L6 eNeuron"
"326","astrocytes"
"327","L6 eNeuron"
"328","mural"
"329","L6 eNeuron"
"330","Adarb2 iNeuron"
"331","microglia"
"332","Olig"
"333","L6 eNeuron"
"334","microglia"
"335","L6 eNeuron"
"336","astrocytes"
"337","L6 eNeuron"
"338","L6 eNeuron"
"339","L6 eNeuron"
"340","astrocytes"
"341","Olig"
"342","L6 eNeuron"
"343","L5 eNeuron"
"344","L6 eNeuron"
"345","microglia"
"346","L6 eNeuron"
"347","astrocytes"
"348","L6 eNeuron"
"349","L6 eNeuron"
"350","mural"
"351","L6 eNeuron"
"352","L6 eNeuron"
"353","L6 eNeuron"
"354","endothelial"
"355","L6 eNeuron"
"356","L6 eNeuron"
"357","L5 eNeuron"
"358","astrocytes"
"359","Adarb2 iNeuron"
"360","L6 eNeuron"
"361","mural"
"362","endothelial"
"363","L6 eNeuron"
"364","L6 eNeuron"
"365","L6 eNeuron"
"366","L6 eNeuron"
"367","Olig"
"368","L2/3 eNeuron"
"369","L5 eNeuron"
"370","L6 eNeuron"
"371","L6 eNeuron"
"372","L6 eNeuron"
"373","Lhx6 iNeuron"
"374","L5 eNeuron"
"375","L6 eNeuron"
"376","L6 eNeuron"
"377","L6 eNeuron"
"378","L6 eNeuron"
"379","L6 eNeuron"
"380","endothelial"
"381","L6 eNeuron"
"382","Lhx6 iNeuron"
"383","L6 eNeuron"
"384","L6 eNeuron"
"385","endothelial"
"386","L6 eNeuron"
"387","L6 eNeuron"
"388","L6 eNeuron"
"389","L6 eNeuron"
"390","L6 eNeuron"
"391","L6 eNeuron"
"392","L5 eNeuron"
"393","L4 eNeuron"
"394","Lhx6 iNeuron"
"395","L5 eNeuron"
"396","L2/3 eNeuron"
"397","L5 eNeuron"
"398","L5 eNeuron"
"399","endothelial"
"400","L6 eNeuron"
"401","L5 eNeuron"
"402","L6 eNeuron"
"403","L6 eNeuron"
"404","mural"
"405","L6 eNeuron"
"406","L6 eNeuron"
"407","L5 eNeuron"
"408","endothelial"
"409","L6 eNeuron"
"410","Olig"
"411","L2/3 eNeuron"
"412","Lhx6 iNeuron"
"413","L6 eNeuron"
"414","L6 eNeuron"
"415","L5 eNeuron"
"416","Lhx6 iNeuron"
"417","L6 eNeuron"
"418","L5 eNeuron"
"419","L6 eNeuron"
"420","L6 eNeuron"
"421","L6 eNeuron"
"422","Lhx6 iNeuron"
"423","Olig"
"424","astrocytes"
"425","OPC"
"426","OPC"
"427","astrocytes"
"428","OPC"
"429","Olig"
"430","endothelial"
"431","Olig"
"432","OPC"
"433","endothelial"
"434","Olig"
"435","L5 eNeuron"
"436","L6 eNeuron"
"437","L6 eNeuron"
"438","endothelial"
"439","L6 eNeuron"
"440","L6 eNeuron"
"441","L6 eNeuron"
"442","L6 eNeuron"
"443","endothelial"
"444","L6 eNeuron"
"445","L6 eNeuron"
"446","L6 eNeuron"
"447","L5 eNeuron"
"448","OPC"
"449","Olig"
"450","L6 eNeuron"
"451","microglia"
"452","L6 eNeuron"
"453","Olig"
"454","L6 eNeuron"
"455","L6 eNeuron"
"456","endothelial"
"457","L6 eNeuron"
"458","L6 eNeuron"
"459","astrocytes"
"460","astrocytes"
"461","mural"
"462","endothelial"
"463","L6 eNeuron"
"464","L6 eNeuron"
"465","L6 eNeuron"
"466","L6 eNeuron"
"467","L5 eNeuron"
"468","L6 eNeuron"
"469","OPC"
"470","L6 eNeuron"
"471","L6 eNeuron"
"472","L6 eNeuron"
"473","microglia"
"474","L6 eNeuron"
"475","L6 eNeuron"
"476","L6 eNeuron"
"477","L6 eNeuron"
"478","L6 eNeuron"
"479","L5 eNeuron"
"480","L5 eNeuron"
"481","Adarb2 iNeuron"
"482","microglia"
"483","L6 eNeuron"
"484","mural"
"485","Lhx6 iNeuron"
"486","OPC"
"487","astrocytes"
"488","Olig"
"489","L6 eNeuron"
"490","Olig"
"491","astrocytes"
"492","L6 eNeuron"
"493","L6 eNeuron"
"494","L5 eNeuron"
"495","L6 eNeuron"
"496","Adarb2 iNeuron"
"497","L6 eNeuron"
"498","L6 eNeuron"
"499","L6 eNeuron"
"500","L5 eNeuron"
"501","L6 eNeuron"
"502","L6 eNeuron"
