"","x"
"1","1700022a21rik"
"2","1700025g04rik"
"3","4933401b06rik"
"4","5830417i10rik"
"5","9330102e08rik"
"6","9430018g01rik"
"7","9430083a17rik"
"8","Aanat"
"9","Aasdh"
"10","Aatf"
"11","Abat"
"12","Abca16"
"13","Abca17"
"14","Abca4"
"15","Abca8a"
"16","Abcb5"
"17","Abcb7"
"18","Abcc1"
"19","Abcc4"
"20","Abcc6"
"21","Abcc9"
"22","Abcg1"
"23","Abhd2"
"24","Abhd6"
"25","Abl1"
"26","Abl2"
"27","Ablim2"
"28","Abtb1"
"29","Acacb"
"30","Acad10"
"31","Acad11"
"32","Acad9"
"33","Acap2"
"34","Acat1"
"35","Acbd5"
"36","Ace"
"37","Acer3"
"38","Ackr3"
"39","Acot6"
"40","Acox1"
"41","Acox3"
"42","Acoxl"
"43","Acp5"
"44","Acsbg1"
"45","Acsbg2"
"46","Acsf2"
"47","Acsl5"
"48","Acsm1"
"49","Acsm2"
"50","Acsm5"
"51","Acss1"
"52","Actl7a"
"53","Actl9"
"54","Actn3"
"55","Actr10"
"56","Actrt3"
"57","Adam11"
"58","Adam12"
"59","Adam17"
"60","Adam19"
"61","Adam1b"
"62","Adam2"
"63","Adam21"
"64","Adam5"
"65","Adam9"
"66","Adamts13"
"67","Adamts2"
"68","Adamtsl2"
"69","Adamtsl4"
"70","Adap1"
"71","Adarb1"
"72","Adck5"
"73","Adcy1"
"74","Adcy2"
"75","Adcy3"
"76","Adcy9"
"77","Add3"
"78","Adh7"
"79","Adipor1"
"80","Adipor2"
"81","Adrb3"
"82","Adss"
"83","Aff2"
"84","Afg3l2"
"85","Agap1"
"86","Agap2"
"87","Agbl2"
"88","Agfg2"
"89","Aggf1"
"90","Agl"
"91","Ago1"
"92","Ago2"
"93","Agpat3"
"94","Agpat4"
"95","Agps"
"96","Agrn"
"97","Agtr1a"
"98","Ahcyl2"
"99","Ahr"
"100","Ahrr"
"101","Aicda"
"102","Aif1l"
"103","Aifm3"
"104","Aip"
"105","Aire"
"106","Ak4"
"107","Ak5"
"108","Akap1"
"109","Akap5"
"110","Akap6"
"111","Akt3"
"112","Aldh1a3"
"113","Aldh2"
"114","Aldh3a1"
"115","Aldh5a1"
"116","Aldh7a1"
"117","Alg11"
"118","Alg12"
"119","Alms1"
"120","Alox12"
"121","Alox12b"
"122","Alpk1"
"123","Alpk3"
"124","Alpl"
"125","Als2"
"126","Als2cl"
"127","Alx3"
"128","Alx4"
"129","Ambra1"
"130","Amdhd1"
"131","Amer1"
"132","Amfr"
"133","Amhr2"
"134","Amigo1"
"135","Amot"
"136","Amotl2"
"137","Ampd3"
"138","Angel1"
"139","Angptl1"
"140","Angptl4"
"141","Angptl7"
"142","Ankk1"
"143","Ankmy2"
"144","Ankrd13c"
"145","Ankrd13d"
"146","Ankrd16"
"147","Ankrd24"
"148","Ankrd28"
"149","Ankrd29"
"150","Ankrd34c"
"151","Ankrd44"
"152","Ankrd45"
"153","Ankrd50"
"154","Ankrd52"
"155","Ankrd63"
"156","Anks1"
"157","Anks4b"
"158","Anln"
"159","Ano10"
"160","Ano6"
"161","Antxr1"
"162","Antxrl"
"163","Anxa4"
"164","Anxa6"
"165","Aox1"
"166","Ap1b1"
"167","Ap2a1"
"168","Ap2a2"
"169","Ap3b2"
"170","Ap3d1"
"171","Ap5b1"
"172","Apba1"
"173","Aph1b"
"174","Aplp2"
"175","Apmap"
"176","Apod"
"177","Apold1"
"178","Appbp2"
"179","Appl2"
