"","sdimx","sdimy","cell_ID"
"1",1632.02,-1305.7,"cell_1"
"2",1589.47,-669.51,"cell_2"
"3",1539.89,-1185.9,"cell_3"
"4",1513.94,-710.24,"cell_4"
"5",1477.85,-763.87,"cell_5"
"6",1304.03,-1142.4,"cell_6"
"7",1291.34,-957.71,"cell_7"
"8",1282.49,-1725.4,"cell_8"
"9",1218.73,-806.56,"cell_9"
"10",1192.59,-1800.1,"cell_10"
"11",1202.12,-1886,"cell_11"
"12",1183.07,-950.97,"cell_12"
"13",1162.46,-593.51,"cell_13"
"14",1128.82,-1596.5,"cell_14"
"15",1115.86,-1021.4,"cell_15"
"16",1102.88,-1696,"cell_16"
"17",1074.92,-391.16,"cell_17"
"18",1045.9,-597.81,"cell_18"
"19",1037.4,-1865.2,"cell_19"
"20",1024.7,-469.54,"cell_20"
"21",1017.8,-1636.6,"cell_21"
"22",1006,-344.12,"cell_22"
"23",992.9,-1293.3,"cell_23"
"24",980.8,-1378.9,"cell_24"
"25",938.6,-1594.2,"cell_25"
"26",922.8,-822.23,"cell_26"
"27",923.3,-560.36,"cell_27"
"28",912.5,-742.3,"cell_28"
"29",913.1,-1751.6,"cell_29"
"30",882,-668.36,"cell_30"
"31",810.5,-241.57,"cell_31"
"32",800.9,-624.11,"cell_32"
"33",802.4,-103.12,"cell_33"
"34",798.2,-449.39,"cell_34"
"35",752.7,-1342.6,"cell_35"
"36",704.5,-407.86,"cell_36"
"37",618.2,-894.7,"cell_37"
"38",610.6,-1272.8,"cell_38"
"39",612.9,-1363.8,"cell_39"
"40",565.4,-421.27,"cell_40"
"41",553.6,-271.42,"cell_41"
"42",531.9,-1069,"cell_42"
"43",460.6,-426.59,"cell_43"
"44",417.4,-669.71,"cell_44"
"45",359.3,-782.61,"cell_45"
"46",348.1,-228.25,"cell_46"
"47",354.2,-442.86,"cell_47"
"48",341.4,-973.21,"cell_48"
"49",321,-1201.2,"cell_49"
"50",321.4,-854.77,"cell_50"
"51",1924.97,-855.84,"cell_51"
"52",1838.05,-469.57,"cell_52"
"53",1831.19,-1090.2,"cell_53"
"54",1801.58,-267.56,"cell_54"
"55",1785.95,-981.25,"cell_55"
"56",1769.95,-390.59,"cell_56"
"57",1734.44,-1117,"cell_57"
"58",1687.25,-520.51,"cell_58"
"59",1664.57,-980.24,"cell_59"
"60",1657.9,-799.96,"cell_60"
"61",1508.52,-527.31,"cell_61"
"62",1482.67,-621.1,"cell_62"
"63",1369.49,-571.13,"cell_63"
"64",1839.07,-1458,"cell_64"
"65",1802.32,-1738.7,"cell_65"
"66",1805,-1561.7,"cell_66"
"67",1812.68,-1319.2,"cell_67"
"68",1797.44,-1875.4,"cell_68"
"69",1712.56,-1428.9,"cell_69"
"70",1679.39,-152.2,"cell_70"
"71",1649.39,-334.16,"cell_71"
"72",1632.03,-1623.4,"cell_72"
"73",1575.96,-228.45,"cell_73"
"74",1575.84,-1829.6,"cell_74"
"75",1556.42,-1741.8,"cell_75"
"76",1566.09,-1418.1,"cell_76"
"77",1551.13,-363.87,"cell_77"
"78",1492.65,-291.89,"cell_78"
"79",1474.76,-1745,"cell_79"
"80",1466.01,-1617.6,"cell_80"
"81",1449.26,-1238,"cell_81"
"82",1457.75,-1875.9,"cell_82"
"83",1457.65,-402.8,"cell_83"
"84",1444.82,-238.72,"cell_84"
"85",1440.75,-1298.3,"cell_85"
"86",1427.06,-1401,"cell_86"
"87",1414.83,-312.93,"cell_87"
"88",1400.12,-448.36,"cell_88"
"89",1357.53,-699.92,"cell_89"
"90",1351.5,-1923.8,"cell_90"
"91",1339.72,-370.94,"cell_91"
"92",1298.05,-781.88,"cell_92"
"93",1244.38,-191.29,"cell_93"
"94",1232.85,-1960,"cell_94"
"95",1228.13,-739.38,"cell_95"
"96",1210.65,-374.81,"cell_96"
"97",1208,-1502.4,"cell_97"
"98",1171.89,-266,"cell_98"
"99",1156.03,-1357.2,"cell_99"
"100",1142.25,-446.9,"cell_100"
"101",1109.02,-1308.9,"cell_101"
"102",1124.85,-745.68,"cell_102"
"103",1106.51,-1460.8,"cell_103"
"104",1064.34,-799.79,"cell_104"
"105",992.3,-996.9,"cell_105"
"106",990.5,-886.81,"cell_106"
"107",969.6,-1198.5,"cell_107"
"108",956.3,-113.16,"cell_108"
"109",939.4,-280.75,"cell_109"
"110",907.5,-1444,"cell_110"
"111",894.4,-234.96,"cell_111"
"112",891.1,-404.65,"cell_112"
"113",874.3,-1127,"cell_113"
"114",786.5,-921.13,"cell_114"
"115",775.7,-796.06,"cell_115"
"116",490.8,-1336,"cell_116"
"117",421.9,-1794.6,"cell_117"
"118",270,-1383.3,"cell_118"
"119",1915.47,-1378.7,"cell_119"
"120",1896.97,-1547.5,"cell_120"
"121",1811.07,-1634,"cell_121"
"122",3248.83,-681.3,"cell_122"
"123",3142.78,-773.77,"cell_123"
"124",3121.48,-861.26,"cell_124"
"125",3076.52,-682.46,"cell_125"
"126",3023.19,-495.56,"cell_126"
"127",3013.1,-594.86,"cell_127"
"128",2990.89,-837.63,"cell_128"
"129",2904.34,-667.59,"cell_129"
"130",2865.11,-575.64,"cell_130"
"131",2863.69,-830.55,"cell_131"
"132",2773.15,-822.66,"cell_132"
"133",2719.27,-926.19,"cell_133"
"134",3561.82,-1601.6,"cell_134"
"135",3523.37,-1354.5,"cell_135"
"136",3495.02,-1800.3,"cell_136"
"137",3492.02,-1675.2,"cell_137"
"138",3423.84,-1597.6,"cell_138"
"139",3420.45,-911.59,"cell_139"
"140",3388.07,-1512.5,"cell_140"
"141",3289.95,-1083.2,"cell_141"
"142",3286.12,-1606.3,"cell_142"
"143",3229.47,-1456.6,"cell_143"
"144",3163.33,-1464.7,"cell_144"
"145",3140.89,-1080.9,"cell_145"
"146",3155.23,-1255.1,"cell_146"
"147",3144.8,-1814.4,"cell_147"
"148",3126.12,-1320.5,"cell_148"
"149",3099.55,-376.66,"cell_149"
"150",3054.52,-301.91,"cell_150"
"151",3054.32,-1376.3,"cell_151"
"152",3039.23,-1224.7,"cell_152"
"153",3011.5,-407.08,"cell_153"
"154",2997.63,-1439.6,"cell_154"
"155",2906.28,-1660.6,"cell_155"
"156",2897.63,-1213.6,"cell_156"
"157",2869.05,-1581.2,"cell_157"
"158",2865.05,-1496.8,"cell_158"
"159",2853.74,-375.37,"cell_159"
"160",2856.53,-451.05,"cell_160"
"161",2847.87,-508.2,"cell_161"
"162",2836.59,-1402.5,"cell_162"
"163",2807.27,-1159.9,"cell_163"
"164",2746.73,-1495.1,"cell_164"
"165",2729.73,-366.94,"cell_165"
"166",2729.87,-1388.5,"cell_166"
"167",2722.57,-513.53,"cell_167"
"168",2710.83,-1039.8,"cell_168"
"169",2700.37,-289.92,"cell_169"
"170",2686.47,-1555.4,"cell_170"
"171",2657.27,-397.93,"cell_171"
"172",2639.67,-1816.8,"cell_172"
"173",2637.67,-1311.8,"cell_173"
"174",2633.27,-1223.2,"cell_174"
"175",2621.07,-1954.9,"cell_175"
"176",2624.17,-1410.2,"cell_176"
"177",2615.77,-1675.7,"cell_177"
"178",2607.77,-1002.1,"cell_178"
"179",2599.27,-1103.8,"cell_179"
"180",2590.07,-247.23,"cell_180"
"181",2583.17,-1534.7,"cell_181"
"182",2569.37,-493.17,"cell_182"
"183",2563.67,-176.2,"cell_183"
"184",2543.37,-1197.8,"cell_184"
"185",2528.47,-1370.7,"cell_185"
